Censor,Timestamp,Domain Count,Added,Dropped
GFW,2023-11-28,4932,0,0
GFW,2023-11-29,5240,311,3
GFW,2023-11-30,5156,13,97
GFW,2023-12-01,6448,1320,28
GFW,2023-12-02,4903,4,1549
GFW,2023-12-03,4903,3,3
GFW,2023-12-04,5214,314,3
GFW,2023-12-05,5420,352,146
GFW,2023-12-06,4915,10,515
GFW,2023-12-07,4916,4,3
GFW,2023-12-08,4940,26,2
GFW,2023-12-09,4950,12,2
GFW,2023-12-10,4948,1,2
GFW,2023-12-11,4952,8,4
GFW,2023-12-12,4968,19,3
GFW,2023-12-13,5102,152,18
GFW,2023-12-14,5037,16,81
GFW,2023-12-15,4942,9,104
GFW,2023-12-16,4951,19,10
GFW,2023-12-17,4947,5,9
GFW,2023-12-18,4945,8,10
GFW,2023-12-19,4950,30,25
GFW,2023-12-20,4951,25,24
GFW,2023-12-21,4960,22,13
GFW,2023-12-22,4962,11,9
GFW,2023-12-23,4964,6,4
GFW,2023-12-24,4966,7,5
GFW,2023-12-25,4969,6,3
GFW,2023-12-26,4966,10,13
GFW,2023-12-27,4976,30,20
GFW,2023-12-28,4996,30,10
GFW,2023-12-29,4993,14,17
GFW,2023-12-30,4994,8,7
GFW,2023-12-31,4986,3,11
GFW,2024-01-01,4986,6,6
GFW,2024-01-02,4987,5,4
GFW,2024-01-03,4971,4,20
GFW,2024-01-04,4958,8,21
GFW,2024-01-05,0,1,4958
GFW,2024-01-06,0,1,1
GFW,2024-01-07,0,1,1
GFW,2024-01-08,10600,10600,1
GFW,2024-01-09,5013,171,5758
GFW,2024-01-10,5280,271,4
GFW,2024-01-11,5301,24,3
GFW,2024-01-12,5299,3,5
GFW,2024-01-13,5280,4,23
GFW,2024-01-14,5288,9,1
GFW,2024-01-15,5333,48,3
GFW,2024-01-16,5338,34,29
GFW,2024-01-17,5313,4,29
GFW,2024-01-18,5321,8,1
GFW,2024-01-19,5326,27,22
GFW,2024-01-20,5288,2,40
GFW,2024-01-21,5294,11,5
GFW,2024-01-22,5333,42,3
GFW,2024-01-23,5335,3,1
GFW,2024-01-24,5332,10,13
GFW,2024-01-25,5314,4,22
GFW,2024-01-26,5343,38,9
GFW,2024-01-27,5299,22,66
GFW,2024-01-28,6763,1468,4
GFW,2024-01-29,5285,3,1481
GFW,2024-01-30,5271,9,23
GFW,2024-01-31,5267,8,12
GFW,2024-02-01,5252,16,31
GFW,2024-02-02,5248,14,18
GFW,2024-02-03,5262,34,20
GFW,2024-02-04,5307,48,3
GFW,2024-02-05,5404,100,3
GFW,2024-02-06,5391,11,24
GFW,2024-02-07,5354,13,50
GFW,2024-02-08,5379,28,3
GFW,2024-02-09,5365,18,32
GFW,2024-02-10,5365,7,7
GFW,2024-02-11,5376,13,2
GFW,2024-02-12,5376,6,6
GFW,2024-02-13,5390,17,3
GFW,2024-02-14,5408,20,2
GFW,2024-02-15,5416,26,18
GFW,2024-02-16,5314,57,159
GFW,2024-02-17,5327,21,8
GFW,2024-02-18,5357,42,12
GFW,2024-02-19,5410,64,11
GFW,2024-02-20,5373,27,64
GFW,2024-02-21,5340,17,50
GFW,2024-02-22,5367,43,16
GFW,2024-02-23,5370,22,19
GFW,2024-02-24,5319,14,65
GFW,2024-02-25,5336,31,14
GFW,2024-02-26,5350,53,39
GFW,2024-02-27,5518,177,9
GFW,2024-02-28,5519,27,26
GFW,2024-02-29,5496,23,46
GFW,2024-03-01,5487,11,20
GFW,2024-03-02,5475,13,25
GFW,2024-03-03,5472,4,7
GFW,2024-03-04,5489,21,4
Henan Firewall,2023-11-28,32635,0,0
Henan Firewall,2023-11-29,30232,22,2425
Henan Firewall,2023-11-30,28365,54,1921
Henan Firewall,2023-12-01,25563,45,2847
Henan Firewall,2023-12-02,22969,20,2614
Henan Firewall,2023-12-03,20572,201,2598
Henan Firewall,2023-12-04,18034,13,2551
Henan Firewall,2023-12-05,15876,20,2178
Henan Firewall,2023-12-06,12931,24,2969
Henan Firewall,2023-12-07,10129,51,2853
Henan Firewall,2023-12-08,8270,38,1897
Henan Firewall,2023-12-09,8173,3,100
Henan Firewall,2023-12-10,8124,1,50
Henan Firewall,2023-12-11,8151,67,40
Henan Firewall,2023-12-12,8145,31,37
Henan Firewall,2023-12-13,8102,13,56
Henan Firewall,2023-12-14,8126,37,13
Henan Firewall,2023-12-15,8101,49,74
Henan Firewall,2023-12-16,8118,24,7
Henan Firewall,2023-12-17,8118,24,24
Henan Firewall,2023-12-18,8162,48,4
Henan Firewall,2023-12-19,8249,101,14
Henan Firewall,2023-12-20,8295,54,8
Henan Firewall,2023-12-21,8314,26,7
Henan Firewall,2023-12-22,8344,36,6
Henan Firewall,2023-12-23,8362,34,16
Henan Firewall,2023-12-24,9556,1210,16
Henan Firewall,2023-12-25,9615,65,6
Henan Firewall,2023-12-26,9641,41,15
Henan Firewall,2023-12-27,9670,37,8
Henan Firewall,2023-12-28,9802,137,5
Henan Firewall,2023-12-29,9856,59,5
Henan Firewall,2023-12-30,9912,58,2
Henan Firewall,2023-12-31,10007,101,6
Henan Firewall,2024-01-01,10047,47,7
Henan Firewall,2024-01-02,10191,148,4
Henan Firewall,2024-01-03,10314,128,5
Henan Firewall,2024-01-04,43632,33323,5
Henan Firewall,2024-01-05,24627,8229,27234
Henan Firewall,2024-01-06,23890,759,1496
Henan Firewall,2024-01-07,74,1,23816
Henan Firewall,2024-01-08,10583,10547,38
Henan Firewall,2024-01-09,10714,189,58
Henan Firewall,2024-01-10,10830,134,18
Henan Firewall,2024-01-11,10902,107,35
Henan Firewall,2024-01-12,10948,60,14
Henan Firewall,2024-01-13,10979,36,5
Henan Firewall,2024-01-14,10983,13,9
Henan Firewall,2024-01-15,11016,46,13
Henan Firewall,2024-01-16,11035,31,12
Henan Firewall,2024-01-17,11086,67,16
Henan Firewall,2024-01-18,11036,1,50
Henan Firewall,2024-01-19,16379,5377,34
Henan Firewall,2024-01-20,11161,88,5306
Henan Firewall,2024-01-21,11192,53,22
Henan Firewall,2024-01-22,11282,141,51
Henan Firewall,2024-01-23,11414,163,31
Henan Firewall,2024-01-24,11410,67,71
Henan Firewall,2024-01-25,11087,81,404
Henan Firewall,2024-01-26,11022,55,120
Henan Firewall,2024-01-27,10930,13,105
Henan Firewall,2024-01-28,10797,1,134
Henan Firewall,2024-01-29,10650,17,164
Henan Firewall,2024-01-30,10554,22,118
Henan Firewall,2024-01-31,10314,30,270
Henan Firewall,2024-02-01,15559,5355,110
Henan Firewall,2024-02-02,15485,10,84
Henan Firewall,2024-02-03,10106,16,5395
Henan Firewall,2024-02-04,10010,6,102
Henan Firewall,2024-02-05,9736,10,284
Henan Firewall,2024-02-06,9462,6,280
Henan Firewall,2024-02-07,9257,15,220
Henan Firewall,2024-02-08,10637,1551,171
Henan Firewall,2024-02-09,10488,5,154
Henan Firewall,2024-02-10,10308,15,195
Henan Firewall,2024-02-11,10059,4,253
Henan Firewall,2024-02-12,9883,1,177
Henan Firewall,2024-02-13,9533,3,353
Henan Firewall,2024-02-14,9343,3,193
Henan Firewall,2024-02-15,11191,2078,230
Henan Firewall,2024-02-16,11103,2,90
Henan Firewall,2024-02-17,11056,3,50
Henan Firewall,2024-02-18,11019,13,50
Henan Firewall,2024-02-19,10962,10,67
Henan Firewall,2024-02-20,10918,9,53
Henan Firewall,2024-02-21,10834,8,92
Henan Firewall,2024-02-22,10774,10,70
Henan Firewall,2024-02-23,10774,32,32
Henan Firewall,2024-02-24,10897,142,19
Henan Firewall,2024-02-25,10945,108,60
Henan Firewall,2024-02-26,11012,93,26
Henan Firewall,2024-02-27,11041,44,15
Henan Firewall,2024-02-28,11049,64,56
Henan Firewall,2024-02-29,11124,113,38
Henan Firewall,2024-03-01,11136,59,47
Henan Firewall,2024-03-02,11140,44,40
Henan Firewall,2024-03-03,11138,1,3
Henan Firewall,2024-03-04,11203,80,15
